data;time;pos;chance
2017-05-23;BOT;12;4,715
2017-05-23;BOT;13;4,8950000000000005
2017-05-23;BOT;14;4,91
2017-05-23;BOT;15;5,2299999999999995
2017-05-23;BOT;16;4,72
2017-05-23;BOT;17;4,54
2017-05-23;BOT;18;5,12
2017-05-23;BOT;19;4,725
2017-05-23;BOT;20;4,44
2017-05-23;SPO;1;2,77
2017-05-23;SPO;2;3,065
2017-05-23;SPO;3;3,585
2017-05-23;SPO;4;3,685
2017-05-23;SPO;5;3,9849999999999994
2017-05-23;SPO;6;4,05
2017-05-23;SPO;7;4,495
2017-05-23;SPO;8;4,215
2017-05-23;SPO;9;4,725
2017-05-23;SPO;10;4,945
2017-05-23;SPO;11;4,93
2017-05-23;SPO;12;5,365
2017-05-23;SPO;13;5,635
2017-05-23;SPO;14;5,63
2017-05-23;SPO;15;5,5649999999999995
2017-05-23;SPO;16;5,89
2017-05-23;SPO;17;6,550000000000001
2017-05-23;SPO;18;6,675000000000001
2017-05-23;SPO;19;6,4350000000000005
2017-05-23;SPO;20;7,805
2017-05-23;SAO;1;4,81
2017-05-23;SAO;2;4,97
2017-05-23;SAO;3;5,265000000000001
2017-05-23;SAO;4;5,1049999999999995
2017-05-23;SAO;5;5,215
2017-05-23;SAO;6;5,265000000000001
2017-05-23;SAO;7;5,13
2017-05-23;SAO;8;5,2
2017-05-23;SAO;9;5,295
2017-05-23;SAO;10;4,97
2017-05-23;SAO;11;5,13
2017-05-23;SAO;12;5,18
2017-05-23;SAO;13;5,225
2017-05-23;SAO;14;4,859999999999999
2017-05-23;SAO;15;5,175
2017-05-23;SAO;16;4,875
2017-05-23;SAO;17;4,735
2017-05-23;SAO;18;4,784999999999999
2017-05-23;SAO;19;4,535
2017-05-23;SAO;20;4,275
2017-05-25;FLA;1;6,465
2017-05-25;FLA;2;5,8549999999999995
2017-05-25;FLA;3;5,915
2017-05-25;FLA;4;5,685
2017-05-25;FLA;5;5,645
2017-05-25;FLA;6;5,515
2017-05-25;FLA;7;5,489999999999999
2017-05-25;FLA;8;5,135
2017-05-25;FLA;9;5,04
2017-05-25;FLA;10;5,11
2017-05-25;FLA;11;5,025
2017-05-25;FLA;12;4,805000000000001
2017-05-25;FLA;13;5,055
2017-05-25;FLA;14;4,665
2017-05-25;FLA;15;4,6850000000000005
2017-05-25;FLA;16;4,49
2017-05-25;FLA;17;4,4350000000000005
2017-05-25;FLA;18;3,9899999999999998
2017-05-25;FLA;19;3,695
2017-05-25;FLA;20;3,3000000000000003
2017-05-25;COR;1;6,285
2017-05-25;COR;2;6,015000000000001
2017-05-25;COR;3;6,175
2017-05-25;COR;4;5,775
2017-05-25;COR;5;5,645
2017-05-25;COR;6;5,489999999999999
2017-05-25;COR;7;5,390000000000001
2017-05-25;COR;8;5,510000000000001
2017-05-25;COR;9;5,220000000000001
2017-05-25;COR;10;5,08
2017-05-25;COR;11;5,029999999999999
2017-05-25;COR;12;4,825
2017-05-25;COR;13;4,735
2017-05-25;COR;14;4,73
2017-05-25;COR;15;4,45
2017-05-25;COR;16;4,425
2017-05-25;COR;17;4,38
2017-05-25;COR;18;3,7699999999999996
2017-05-25;COR;19;3,9350000000000005
2017-05-25;COR;20;3,1350000000000002
2017-05-25;FLU;1;10,105
2017-05-25;FLU;2;8,405
2017-05-25;FLU;3;7,845000000000001
2017-05-25;FLU;4;7,12
2017-05-25;FLU;5;6,660000000000001
2017-05-25;FLU;6;6,1899999999999995
2017-05-25;FLU;7;5,515
2017-05-25;FLU;8;5,285
2017-05-25;FLU;9;5,27
2017-05-25;FLU;10;4,984999999999999
2017-05-25;FLU;11;4,595
2017-05-25;FLU;12;4,125
2017-05-25;FLU;13;3,8249999999999997
2017-05-25;FLU;14;3,8
2017-05-25;FLU;15;3,6900000000000004
2017-05-25;FLU;16;3,11
2017-05-25;FLU;17;3,0349999999999997
2017-05-25;FLU;18;2,625
2017-05-25;FLU;19;2,0650000000000004
2017-05-25;FLU;20;1,7500000000000002
2017-05-25;AVA;1;2,785
2017-05-25;AVA;2;3,1550000000000002
2017-05-25;AVA;3;3,4799999999999995
2017-05-25;AVA;4;3,54
2017-05-25;AVA;5;4,05
2017-05-25;AVA;6;3,93
2017-05-25;AVA;7;4,58
2017-05-25;AVA;8;4,6
2017-05-25;AVA;9;4,805000000000001
2017-05-25;AVA;10;4,745
2017-05-25;AVA;11;4,945
2017-05-25;AVA;12;5,315
2017-05-25;AVA;13;5,48
2017-05-25;AVA;14;5,71
2017-05-25;AVA;15;5,615
2017-05-25;AVA;16;6,075
2017-05-25;AVA;17;6,1
2017-05-25;AVA;18;6,694999999999999
2017-05-25;AVA;19;7,01
2017-05-25;AVA;20;7,385
2017-05-25;CRU;1;6,035
2017-05-25;CRU;2;6,295000000000001
2017-05-25;CRU;3;5,665
2017-05-25;CRU;4;5,605
2017-05-25;CRU;5;5,585
2017-05-25;CRU;6;5,785
2017-05-25;CRU;7;5,48
2017-05-25;CRU;8;5,140000000000001
2017-05-25;CRU;9;5,3100000000000005
2017-05-25;CRU;10;5,045
2017-05-25;CRU;11;4,83
2017-05-25;CRU;12;5,1049999999999995
2017-05-25;CRU;13;4,81
2017-05-25;CRU;14;4,74
2017-05-25;CRU;15;4,58
2017-05-25;CRU;16;4,33
2017-05-25;CRU;17;4,45
